clus,pois,latitude,longitude,time,categories
213,Crocifisso_di_Santa_Maria_Novella,43.77486667,11.24943333,120,dipintiafirenze;basilichedifirenze;crocifissidipinti
214,Casa_di_Giovanni_Spadolini,43.77695833,11.25763333,120,palazzidifirenze
215,Piazza_San_Giovanni_(Firenze),43.77295556,11.25475556,285.7446809,piazzedifirenze
216,Oratorio_di_San_Tommaso_d'Aquino,43.773025,11.26119444,612.2307692,chiesedifirenze
217,Piazza_San_Firenze,43.76981111,11.25771944,264.3058824,piazzedifirenze
218,Museo_di_storia_naturale_sezione_di_antropologia_ed_etnologia,43.77169444,11.25836667,1974.058824,museidifirenze
219,Stadio_Artemio_Franchi,43.78082222,11.28225833,3200.888889,impiantisportividifirenze;acffiorentina;impiantideigiochidellaxviiolimpiade;stadi;architetturedifirenze
221,Trinità_(Masaccio),43.77447778,11.24918333,486.2978723,basilichedifirenze;dipintiafirenze
222,Palazzo_Tornabuoni,43.77189722,11.25165556,120,palazzidifirenze;residenze
223,Palazzo_Vecchio,43.76931,11.25617,462.8233618,palazzidifirenze
224,Chiesa_di_San_Leonardo_in_Arcetri,43.75973333,11.25533056,120,chiesedifirenze
225,Dipartimento_di_Italianistica_(Firenze),43.78212222,11.26589167,1800,palazzidifirenze
226,Palazzo_Strozzi,43.77127222,11.25184167,2599.161435,palazzidifirenze;architetturedifirenze
227,Palazzo_dei_Vescovi_a_San_Miniato_al_Monte,43.75939167,11.26497222,761.7086331,basilichedifirenze;palazzidifirenze
228,Circolo_Teatro_del_Sale,43.77114167,11.26636389,752,ristoranti;teatridifirenze
229,Casa_Pitti,43.76851944,11.24796389,120,palazzidifirenze
230,Torre_dei_Peruzzi,43.76890833,11.25930278,562.0625,torridifirenze
231,Palazzo_Lenzi,43.772475,11.24528333,2400,palazzidifirenze
232,Centro_di_documentazione_Matteo_Lanzoni_di_Polimoda;Villa_Strozzi_al_Boschetto,43.77067222,11.22699167,264.25,bibliotechedifirenze;ville
233,Palazzo_Valori-Altoviti;Borgo_Albizi,43.77150556,11.25981111,120,palazzidifirenze;stradedifirenze;residenze
234,Via_dei_Georgofili,43.76849722,11.25183056,236.2352941,stradedifirenze
235,Ex_monastero_di_Santa_Teresa,43.77151667,11.26831389,274.3870968,chiesedifirenze;monasteridifirenze
236,Porta_San_Niccolò,43.764475,11.26493056,371.6486486,architetturedifirenze
237,Torre_dei_Filipetri,43.76868056,11.25719444,121.6923077,torridifirenze
238,Piazza_San_Pier_Maggiore,43.77138056,11.26157222,120,piazzedifirenze
239,Salone_dei_Cinquecento,43.76934444,11.25679167,569.85,palazzidifirenze;ciclidiaffreschidifirenze
240,Giardino_Torrigiani,43.76572222,11.241675,120,giardinidifirenze
241,Teatro_Mediceo,43.768625,11.256075,120,teatridifirenze;architetturedifirenze
242,Fontana_dell'Oceano,43.76146111,11.24554722,296.4216867,fontanedifirenze;operedigiambologna;boboli
